a,KK[ə  e] DJ[ə  ei]
abandon,KK[əˋbændən] DJ[əˋbændən]
abandoned,KK[əˋbændənd] DJ[əˋbændənd]
abbey,KK[ˋæbɪ] DJ[ˋæbi]
abbreviate,KK[əˋbrivɪ͵et] DJ[əˋbri:vieit]
abbreviation,KK[ə͵brivɪˋeʃən] DJ[ə͵bri:viˋeiʃən]
abdomen,KK[ˋæbdəmən] DJ[ˋæbdəmen]
abide,KK[əˋbaɪd] DJ[əˋbaid]
ability,KK[əˋbɪlətɪ] DJ[əˋbiliti]
able,KK[ˋeb!] DJ[ˋeibl]
abnormal,KK[æbˋnɔrm!] DJ[æbˋnɔ:məl]
aboard,KK[əˋbord] DJ[əˋbɔ:d]
abolish,KK[əˋbɑlɪʃ] DJ[əˋbɔliʃ]
aboriginal,KK[͵æbəˋrɪdʒən!] DJ[͵æbəˋridʒənəl]
aborigine,KK[æbəˋrɪdʒəni] DJ[æbəˋridʒini:]
abortion,KK[əˋbɔrʃən] DJ[əˋbɔ:ʃən]
abound,KK[əˋbaʊnd] DJ[əˋbaund]
about,KK[əˋbaʊt] DJ[əˋbaut]
above,KK[əˋbʌv] DJ[əˋbʌv]
abroad,KK[əˋbrɔd] DJ[əˋbrɔ:d]
abrupt,KK[əˋbrʌpt] DJ[əˋbrʌpt]
absence,KK[ˋæbsns] DJ[ˋæbsns]
absent,KK[ˋæbsnt] DJ[ˋæbsənt]
absent-minded,KK[ˋæbsntˋmaɪndɪd] DJ[ˋæbsntˋmaindid]
absolute,KK[ˋæbsə͵lut] DJ[ˋæbsəlu:t]
absolutely,KK[ˋæbsə͵lutlɪ] DJ[ˋæbsəlu:tli]
absorb,KK[əbˋsɔrb] DJ[əbˋsɔ:b]
abstract,KK[ˋæbstrækt] DJ[ˋæbstrækt]
abstraction,KK[æbˋstrækʃən] DJ[æbˋstrækʃən]
absurd,KK[əbˋsɝd] DJ[əbˋsə:d]
abundance,KK[əˋbʌndəns] DJ[əˋbʌndəns]
abundant,KK[əˋbʌndənt] DJ[əˋbʌndənt]
abuse,KK[əˋbjus] DJ[əˋbju:s]
academic,KK[͵ækəˋdɛmɪk] DJ[͵ækəˋdemik]
academy,KK[əˋkædəmɪ] DJ[əˋkædəmi]
accelerate,KK[ækˋsɛlə͵ret] DJ[ækˋseləreit]
acceleration,KK[æk͵sɛləˋreʃən] DJ[æk͵seləˋreiʃən]
accent,KK[ˋæksɛnt] DJ[ˋæksənt]
accept,KK[əkˋsɛpt] DJ[əkˋsept]
acceptable,KK[əkˋsɛptəb!] DJ[əkˋseptəbl]
acceptance,KK[əkˋsɛptəns] DJ[əkˋseptəns]
accepted,KK[əkˋsɛptɪd] DJ[əkˋseptid]
access,KK[ˋæksɛs] DJ[ˋækses]
accessible,KK[ækˋsɛsəb!] DJ[ækˋsesəbl]
accessory,KK[ækˋsɛsərɪ] DJ[ækˋsesəri]
accident,KK[ˋæksədənt] DJ[ˋæksidənt]
accidental,KK[͵æksəˋdɛnt!] DJ[͵æksiˋdentl]
acclaim,KK[əˋklem] DJ[əˋkleim]
accommodate,KK[əˋkɑmə͵det] DJ[əˋkɔmədeit]
accommodation,KK[ə͵kɑməˋdeʃən] DJ[ə͵kɔməˋdeiʃn]
accompany,KK[əˋkʌmpənɪ] DJ[əˋkʌmpəni]
accomplish,KK[əˋkɑmplɪʃ] DJ[əˋkɔmpliʃ]
accomplished,KK[əˋkɑmplɪʃt] DJ[əˋkɔmpliʃt]
accord,KK[əˋkɔrd] DJ[əˋkɔ:d]
accordance,KK[əˋkɔrdəns] DJ[əˋkɔ:dəns]
accordingly,KK[əˋkɔrdɪŋlɪ] DJ[əˋkɔ:diŋli]
account,KK[əˋkaʊnt] DJ[əˋkaunt]
accountable,KK[əˋkaʊntəb!] DJ[əˋkauntəbl]
accountant,KK[əˋkaʊntənt] DJ[əˋkauntənt]
accounting,KK[əˋkaʊntɪŋ] DJ[əˋkauntiŋ]
accumulate,KK[əˋkjumjə͵let] DJ[əˋkju:mjuleit]
accumulation,KK[ə͵kjumjəˋleʃən] DJ[ə͵kju:mjuˋleiʃən]
accuracy,KK[ˋækjərəsɪ] DJ[ˋækjurəsi]
accurate,KK[ˋækjərɪt] DJ[ˋækjurit]
accusation,KK[͵ækjəˋzeʃən] DJ[͵ækjuˋzeiʃən]
accuse,KK[əˋkjuz] DJ[əˋkju:z]
accustom,KK[əˋkʌstəm] DJ[əˋkʌstəm]
accustomed,KK[əˋkʌstəmd] DJ[əˋkʌstəmd]
ace,KK[es] DJ[eis]
ache,KK[ek] DJ[eik]
achieve,KK[əˋtʃiv] DJ[əˋtʃi:v]
achievement,KK[əˋtʃivmənt] DJ[əˋtʃi:vmənt]
acid,KK[ˋæsɪd] DJ[ˋæsid]
acknowledge,KK[əkˋnɑlɪdʒ] DJ[əkˋnɔlidʒ]
acne,KK[ˋæknɪ] DJ[ˋækni]
acoustic,KK[əˋkustɪk] DJ[əˋku:stik]
acquaint,KK[əˋkwent] DJ[əˋkweint]
acquaintance,KK[əˋkwentəns] DJ[əˋkweintəns]
acquire,KK[əˋkwaɪr] DJ[əˋkwaiə]
acquisition,KK[͵ækwəˋzɪʃən] DJ[͵ækwiˋziʃən]
acre,KK[ˋekɚ] DJ[ˋeikə]
across,KK[əˋkrɔs] DJ[əˋkrɔ:s]
act,KK[ækt] DJ[ækt]
acting,KK[ˋæktɪŋ] DJ[ˋæktiŋ]
action,KK[ˋækʃən] DJ[ˋækʃən]
activate,KK[ˋæktə͵vet] DJ[ˋækti͵veit]
active,KK[ˋæktɪv] DJ[ˋæktiv]
activist,KK[ˋæktəvɪst] DJ[ˋæktivist]
activity,KK[ækˋtɪvətɪ] DJ[ækˋtiviti]
actor,KK[ˋæktɚ] DJ[ˋæktə]
actress,KK[ˋæktrɪs] DJ[ˋæktris]
actual,KK[ˋæktʃʊəl] DJ[ˋæktjuəl]
actually,KK[ˋæktʃʊəlɪ] DJ[ˋæktjuəli]
acute,KK[əˋkjut] DJ[əˋkju:t]
adapt,KK[əˋdæpt] DJ[əˋdæpt]
adaptation,KK[͵ædæpˋteʃən] DJ[͵ædæpˋteiʃən]
add,KK[æd] DJ[æd]
addict,KK[ˋædɪkt] DJ[ˋædikt]
addicted,KK[əˋdɪktɪd] DJ[əˋdiktid]
addiction,KK[əˋdɪkʃən] DJ[əˋdikʃən]
addition,KK[əˋdɪʃən] DJ[əˋdiʃən]
additional,KK[əˋdɪʃən!] DJ[əˋdiʃənəl]
additive,KK[ˋædətɪv] DJ[ˋæditiv]
address,KK[əˋdrɛs] DJ[əˋdres]
adequate,KK[ˋædəkwɪt] DJ[ˋædikwit]
